epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1107.16,0.89596,0.50733,1.01362,0.97723,0.98673,0.99365,0.78226,0.78652,0.39939,0.98046,0.0002378,0.0002378,0.0002378
91,1121.86,0.89427,0.48314,1.02182,0.97124,0.98851,0.99386,0.7815,0.79333,0.4052,0.98447,0.000218,0.000218,0.000218
92,1134.13,0.88761,0.46979,1.01461,0.97734,0.9914,0.99372,0.77046,0.78577,0.41706,0.97998,0.0001982,0.0001982,0.0001982
93,1146.29,0.88799,0.46652,1.0188,0.97185,0.99219,0.99379,0.77209,0.79217,0.41481,0.97709,0.0001784,0.0001784,0.0001784
94,1158.42,0.86897,0.45373,0.99877,0.97181,0.99051,0.99332,0.7772,0.79746,0.40644,0.98347,0.0001586,0.0001586,0.0001586
95,1170.5,0.84857,0.44371,1.00765,0.97184,0.99158,0.99301,0.77632,0.79452,0.40725,0.98072,0.0001388,0.0001388,0.0001388
96,1182.63,0.84305,0.45619,1.00028,0.96971,0.98276,0.98669,0.78644,0.77884,0.40257,0.97355,0.000119,0.000119,0.000119
97,1194.91,0.84374,0.45194,0.99159,0.97582,0.98851,0.99355,0.78961,0.77888,0.39975,0.97828,9.92e-05,9.92e-05,9.92e-05
98,1207.5,0.84269,0.45432,0.99917,0.97738,0.99315,0.99367,0.78674,0.78336,0.4014,0.98088,7.94e-05,7.94e-05,7.94e-05
99,1219.66,0.81796,0.42866,0.98012,0.97669,0.99425,0.99355,0.7915,0.774,0.39725,0.97842,5.96e-05,5.96e-05,5.96e-05
100,1231.87,0.82287,0.43486,0.9824,0.97281,0.99425,0.9933,0.79044,0.76625,0.39528,0.97471,3.98e-05,3.98e-05,3.98e-05
